Product_Input,Cheapest_Original_Material,Original_Price_USD,EISc_Original_Score,Sustainable_Alternative,Alternative_Price_USD,EISc_Alternative_Score
Toy,Recycled Plastic,9.67,9, Plant-based Plastic,9.82,3
General Appliance Part,Bamboo Pulp,4.35,8,Recycled Pulp,4.3,3
Automotive Component,Sunflower Oil,5.97,8,Plant-based Oil,5.85,3
Curtains,Polyester Film,1.79,7,Cornstarch-based Film,1.75,2
Industrial Coating,Terephthalic Acid,5.57,8,Recycled PET,5.54,3
Disposable Cup,Expanded Polystyrene,1.06,9,Compostable Paper Foam,1.03,3
Electronic Housing,Alkylphenols,0.87,9,Natural Surfactants,0.88,3
Automotive Component,Recycled Granite,4.02,8, Recycled Granite or Recycled Glass,3.97,3
Disposable Cutlery,Corn Plastic,9.03,7,Compostable Corn Plastic,9.27,2
General Appliance Part,Acrylonitrile Styrene Acrylate,1.51,8,Bio-based Copolymers,1.53,3
Electronic Housing,Coffee Ground Composites,7.31,5,Recycled Coffee Biocomposites,7.36,2
Automotive Component,Silicone,4.76,9,Plant-based Silicone,4.68,4
Automotive Component,Carbon Tetrachloride,2.12,10,Water-based Cleaning,2.17,2
Electronic Housing,Polyolefin Elastomer (POE),2.26,8, Biodegradable POE,2.29,3
Candle,Synthetic Wax,9.94,8,Beeswax or Soy Wax,9.68,3
Packaging Box,Soybean Oil,7.3,8,Bio-based Oil,7.36,3
Clothing Apparel,Flax Fiber,1.4,7,Bamboo Fiber,1.4,2
General Appliance Part,FSC-Certified Wood,3.32,8, Sustainable Wood,3.27,3
Packaging Box,Treated Wood,9.38,8,Recycled Wood,9.2,3
General Appliance Part,Sisal,6.41,8,Hemp or Bamboo Fiber,6.39,3
Pen,Thermoplastic Elastomer (TPE),7.38,8, Biodegradable TPE,7.58,3
Bag,Natural Fiberboard,7.93,8, Recycled Wood Fiberboard,7.71,3
General Appliance Part,Aluminum Foil,9.02,8,Reusable Beeswax Wrap,8.91,2
Automotive Component,Jute,7.66,8,Bamboo Fiber,7.64,3
Pen,Plastic,1.44,10,Paper or Metal,1.48,2
General Appliance Part,Polypropylene Glycol (PPG),5.03,8, Biodegradable PPG,5.04,3
Upholstery,Fiberglass Insulation,7.19,9,Cellulose Insulation,7.29,3
Automotive Component,Microfiber,7.64,8,Hemp or Bamboo Fibers,7.66,3
Sportswear,Polyester Fiberfill,8.78,8,Kapok or Wool,8.54,2
Automotive Component,Recycled Steel,3.7,8,Recycled Steel or Aluminum,3.78,3
Automotive Component,Polypropylene Carbonate,2.63,8,CO2-based Polymers,2.63,3
Packaging Box,Mercury Switches,8.67,10,Electronic Switches,8.51,3
General Appliance Part,Recycled Cardboard,1.39,7,Recycled Paperboard,1.39,3
Electronic Housing,Creosote-treated Wood,9.05,9,Heat-treated Wood,9.07,3
Electronic Housing,Phenol,8.93,9,Natural Phenolics,8.78,3
Storage Container,Plastic Beads,4.51,8,Glass or Wooden Beads,4.41,3
Automotive Component,Aluminum,0.25,8,Recycled Aluminum,0.25,2
Electronic Housing,Mineral Wool,1.33,8,Recycled Cotton Insulation,1.34,3
Packaging Box,Recycled Textiles,2.76,8, Organic Textiles,2.84,3
Packaging Box,Ethylene Propylene Diene Monomer (EPDM),9.66,8, Bio-based EPDM,9.7,3
General Appliance Part,Styrene Monomer,2.9,8,Natural Monomers,2.9,3
Phone Case,Polyethylene (Plastic),1.69,9,Jute or Cotton,1.69,2
General Appliance Part,Radioactive Materials,2.81,10,Non-radioactive Alternatives,2.76,4
Packaging Box,Recycled Steel,6.02,8, Recycled Steel or Aluminum,6.19,3
Shoes,Cactus Leather,4.09,7,Desert Plant Leather,4.19,2
Automotive Component,Recycled Steel,9.18,8, Recycled Steel or Aluminum,9.04,3
Electronic Housing,Biodegradable Paint,2.09,7,Natural Paints,2.13,2
Packing Peanuts,Expanded Polystyrene,3.8,9,Compostable Paper Foam,3.76,3
Electronic Housing,Polyisoprene,1.58,8, Natural Rubber,1.57,3
Packaging Box,Phenol,3.9,9,Natural Phenolics,3.79,3
Electronic Housing,Paper Packaging,0.61,8, Biodegradable Paper Packaging,0.63,3
Umbrella,Nylon Rope,8.32,7,Jute or Hemp Rope,8.42,2
Electronic Housing,Graphene,2.86,8,Recycled Graphene,2.9,3
Electronic Housing,Plant-based Paint,8.05,7,Water-based Paint,8.01,2
Blister Packaging,PETG,5.05,7,PLA-based materials,4.99,3
Electronic Housing,Silicone,9.26,9,Plant-based Silicone,9.16,4
Automotive Component,Recycled Steel,8.66,8, Recycled Steel,8.64,3
General Appliance Part,Kevlar,7.58,9,High-strength Natural Fibers,7.36,4
Automotive Component,Dichloromethane,9.46,10,Water-based Solvents,9.6,3
Bag,Fiberglass Insulation,1.2,9,Cellulose Insulation,1.21,3
Toy,Algae-Based Bioplastic,1.5,7,Plant-based Bioplastics,1.46,2
General Appliance Part,Propylene Oxide,1.28,9,Enzymatic Processes,1.3,3
Electronic Housing,Compostable Paper,1.99,7,Bamboo Paper,2.0,2
Water Bottle,Plastic Shopping Bags,6.96,9,Jute or Reusable Cloth Bags,7.13,2
Bulletproof Glass,Bio-based Polycarbonate,8.58,8,Recycled Polycarbonate,8.49,3
Curtains,Polyester Film,1.64,7,Cornstarch-based Film,1.68,2
Automotive Component,Vinyl Upholstery,8.25,9,Cork Leather or Fabric,8.24,3
Automotive Component,Rice Husk Ash Cement,8.79,8,Agricultural Waste Cement,8.93,3
Upholstery,Abaca Fiber,9.4,7,Banana Plant Fiber,9.25,3
Storage Container,Corn Plastic,6.69,7,Compostable Corn Plastic,6.72,2
Automotive Component,Grape Seed Oil,2.36,8, Plant-based Oil,2.38,3
Packaging Box,Phosgene,5.71,10,Green Chemistry Routes,5.8,4
Electronic Housing,Algae Oil,2.42,8,Plant-based Oil,2.43,3
General Appliance Part,Palm Oil,2.59,8, Certified Sustainable Palm Oil,2.6,3
Packaging Box,Spider Silk Protein,1.95,8,Recombinant Protein Fibers,1.94,3
Automotive Component,Silk,4.99,8,Synthetic Silk,4.91,3
Shampoo Bottle,Bio-polyethylene,0.89,8,Biodegradable Polyethylene,0.91,3
Belt,Leather,2.68,9,Plant-based Leather,2.62,3
Electronic Housing,Viscose Rayon,0.4,8,Lyocell,0.39,3
General Appliance Part,Cling Film,8.99,9,Biodegradable Cling Wrap,9.16,2
Crayon,Synthetic Wax,0.3,8,Beeswax or Soy Wax,0.3,3
Electronic Housing,Acrylic Paint,0.97,7,Natural Pigments or Water-based Paints,0.97,2
Tote Bag,Cotton Waste,8.9,8,Hemp or Organic Cotton,9.16,3
Belt,Mushroom Leather,5.34,8,Mycelium Leather,5.29,3
Electronic Housing,Polyphenylene Sulfide,5.31,9,Bio-based Sulfides,5.31,4
Electronic Housing,Recycled Steel,9.36,8,Recycled Steel,9.35,2
Toy,Plastic Bottles,5.42,9,Glass or Metal Bottles,5.54,2
General Appliance Part,Conventional Fertilizers,0.98,9,Organic Fertilizers,0.97,3
General Appliance Part,Creosote-treated Wood,2.44,9,Heat-treated Wood,2.47,3
Sofa Cushion,Thermoplastic Polyurethane,2.05,8,Biodegradable TPU,1.99,3
Food Container,PETG Bottles,2.76,8,PLA or Glass Bottles,2.71,3
Electronic Housing,Papyrus,5.52,7,Bamboo Paper,5.57,2
Eraser,Silicone Rubber,0.9,6,Natural Latex or Biodegradable Silicone,0.92,3
Automotive Component,Chlordane,5.96,10,Biological Controls,6.02,2
General Appliance Part,Recycled Granite,6.19,8, Recycled Granite or Recycled Glass,6.25,3
General Appliance Part,Plant-based Paint,8.01,7,Water-based Paint,8.07,2
Wire Coating,Teflon,7.51,10,Ceramic Coating or Cast Iron,7.45,4
Automotive Component,Propylene Oxide,9.16,9,Enzymatic Processes,8.96,3
Stockings,Recycled Nylon,3.63,8,Recycled Nylon or Hemp Fiber,3.56,3
Pen,Coconut Oil-based Bioplastic,6.63,8,Compostable Plastic,6.64,3
Packaging Box,Teak Wood,0.78,9,Bamboo Composites,0.78,3
Eraser,Conventional Rubber,1.95,8,Recycled Rubber or Natural Latex,1.97,3
Automotive Component,Recycled Glass Bottles,7.13,8, Glass or Biodegradable Bottles,7.32,3
Electronic Housing,Epoxidized Soybean Oil (ESBO),1.92,8, Bio-based Epoxidized Soybean Oil,1.95,3
Lip Balm,Traditional Candle Wax,9.14,8,Soy Wax or Beeswax,9.12,2
Electronic Housing,Compostable PLA,5.28,7,Plant-based PLA,5.43,2
Automotive Component,Paper Packaging,1.3,8,Biodegradable Paper Packaging,1.29,3
Packaging Box,Recycled Cardboard,0.83,7, Recycled Paperboard,0.82,3
Packaging Film,High-Density Polyethylene,7.14,8,Biodegradable HDPE,7.01,3
Disposable Cutlery,Thermoplastic Vulcanizates,8.97,8,Biodegradable Thermoplastic,8.71,3
General Appliance Part,Wooden Furniture,4.89,8, Bamboo Furniture,4.83,3
Automotive Component,Wooden Furniture,1.76,8, Bamboo Furniture,1.75,3
Shoe Sole,Silicone Rubber,2.55,6, Natural Latex or Biodegradable Silicone,2.54,3
Electronic Housing,Acrylic Glass (Plexiglass),7.53,8,Polycarbonate or Glass,7.43,4
Phone Case,Plastic Bags,9.52,9,Reusable Cloth Bags,9.6,2
Shampoo Bottle,Polyethylene Terephthalate,1.91,8,Polylactic Acid,1.88,3
Packaging Box,Hydrazine,4.31,9,Natural Reducing Agents,4.24,3
Blister Packaging,PETG,5.5,7,PLA-based materials,5.36,3
Packaging Box,Aluminum Foil,7.98,8,Reusable Beeswax Wrap,7.77,2
Automotive Component,Rosewood,0.81,9,Sustainable Plantation Wood,0.79,3
Adhesive,Terephthalic Acid,6.24,8,Recycled PET,6.24,3
Electronic Housing,Cork Packaging,1.53,8,Bamboo Packaging,1.48,3
Electronic Housing,Polybutylene,5.54,8,Bio-based Polyolefins,5.66,3
Tool Handle,Nitrocellulose,5.64,8,Natural Film Formers,5.66,3
Clothing Apparel,Acrylic Fabric,9.79,7,Hemp Fabric,10.0,2
General Appliance Part,Recycled Paper Straws,1.45,8,Compostable Paper Straws,1.45,3
Automotive Component,Rosewood,0.14,9,Sustainable Plantation Wood,0.14,3
General Appliance Part,Chlorofluorocarbons,6.53,10,Natural Refrigerants,6.6,3
General Appliance Part,Paper Packaging,3.98,8, Biodegradable Paper Packaging,4.09,3
Electronic Housing,Lindane,0.82,10,Natural Insecticides,0.81,2
Sponge,Cellulose Propionate,8.41,7,Bio-based Cellulose,8.63,2
Packaging Box,Bamboo Paper,7.52,8, Recycled Paper,7.52,3
Electronic Housing,Bamboo Pulp,6.55,8, Recycled Pulp,6.58,3
Shoes,Cactus Leather,7.18,7,Desert Plant Leather,7.31,2
Bag,Eucalyptus Pulp Fabric,4.3,6,Fast-growing Tree Fiber,4.32,2
Electronic Housing,Asphalt Shingles,9.97,8,Recycled Metal Shingles,10.05,3
Soda Bottle,PETG Bottles,8.4,8,PLA or Glass Bottles,8.63,3
Automotive Component,Compostable Paper,2.09,7,Bamboo Paper,2.04,2
Automotive Component,Ethylene Vinyl Acetate (EVA),4.88,8, Recycled EVA,4.9,3
3D Printer Filament,ABS,5.98,8,Recycled ABS or Wood-based Composites,6.01,3
General Appliance Part,Palm Oil,5.25,8,Certified Sustainable Palm Oil,5.2,3
Storage Container,Plastic Shopping Bags,7.39,9,Jute or Reusable Cloth Bags,7.27,2
Safety Glasses,Polycarbonate Sheet,3.73,9,Recycled Glass,3.63,3
Electronic Housing,Phosgene,5.86,10,Green Chemistry Routes,5.69,4
Disposable Cutlery,Plastic Packaging,3.42,10,Paper-based Packaging,3.35,2
Packaging Box,Chlorofluorocarbons,1.91,10,Natural Refrigerants,1.88,3
Automotive Component,Acrylic Glass (Plexiglass),9.77,8,Polycarbonate or Glass,9.85,4
Electronic Housing,Recycled Copper,5.17,8,Recycled Copper or Plant-based Copper,5.21,3
Packaging Box,Polypropylene Carbonate,2.13,8,CO2-based Polymers,2.09,3
Takeout Box,Recycled Polystyrene,4.85,8, Recycled Polystyrene or Bio-based Styrofoam,4.89,3
Phone Case,Plastic Straws,0.26,9,Bamboo or Metal Straws,0.27,2
Toy,Casein Plastics,6.03,7,Plant Protein Plastics,5.96,2
Automotive Component,Polyimide,5.33,8,Biodegradable Polyimide,5.47,3
Electronic Housing,Vinyl Chloride Monomer,2.63,9,Bio-based Monomers,2.67,3
Clothing Apparel,Natural Fiber,3.12,7, Biodegradable Fiber,3.2,2
Storage Container,Plastic Beads,8.04,8,Glass or Wooden Beads,8.1,3
General Appliance Part,Treated Wood,9.23,8,Recycled Wood,9.14,3
Pen,Thermoplastic Elastomer (TPE),0.46,8, Biodegradable TPE,0.45,3
Packaging Box,Perfluorocarbons,5.7,10,Silicon-based Alternatives,5.66,4
Packaging Box,Recycled Steel,2.44,8,Recycled Steel or Aluminum,2.46,3
Electronic Housing,Radioactive Materials,9.78,10,Non-radioactive Alternatives,10.05,4
Sofa Cushion,Polyurethane Coating,3.53,8, Plant-based Coating,3.48,3
Adhesive,Adipic Acid,5.26,8,Bio-based Diacids,5.17,3
Electronic Housing,Antimony Compounds,7.86,9,Natural Flame Retardants,7.73,3
Shoes,Apple Leather,4.35,6,Fruit Waste Leather,4.35,2
Automotive Component,Recycled Paper Straws,5.53,8, Compostable Paper Straws,5.6,3
Packaging Box,Beryllium,9.76,10,Aluminum Alloys,9.6,4
Toothbrush Bristles,Nylon 66,3.06,8,Biodegradable Polymers,2.99,3
Automotive Component,FSC-Certified Wood,4.75,8, Sustainable Wood,4.87,3
Upholstery,Lotus Fiber,5.19,6,Aquatic Plant Fiber,5.09,2
General Appliance Part,Polyvinyl Alcohol,7.59,8,Biodegradable PVA,7.75,3
Automotive Component,Coal Tar,0.75,9,Bio-based Tar,0.77,3
Disposable Cutlery,Casein Plastics,7.84,7,Plant Protein Plastics,8.04,2
Packaging Film,Polyethylene (Plastic),2.47,9,Jute or Cotton,2.5,2
Film,Bacterial Cellulose,0.25,6,Microbial Cellulose Films,0.24,2
Film,Regenerated Cellulose,3.59,7,Natural Fibers,3.61,2
Tool Handle,Nitrocellulose,6.45,8,Natural Film Formers,6.42,3
Packaging Box,Zein (Corn Protein),2.5,7,Plant-based Protein Films,2.51,2
Insulation Panel,Polyurethane Foam,8.46,9,Natural Latex or Coconut Fiber,8.42,3
General Appliance Part,Treated Wood,5.77,8, Recycled Wood,5.61,3
General Appliance Part,DDT (Historical),8.19,10,Natural Pesticides,8.17,2
Packaging Box,PVB,8.87,8,Recycled Glass or Biodegradable PVB,9.02,3
Safety Glasses,Polycarbonate Panels,0.54,9,Recycled Polycarbonate,0.53,3
Upholstery,Recycled Fabric,7.41,8, Organic Fabric,7.31,3
Water Bottle,Thermoplastic Polyolefin (TPO),0.41,8, Biodegradable TPO,0.41,3
Electronic Housing,Compostable PLA,3.2,7,Plant-based PLA,3.11,2
Automotive Component,Pentachlorophenol,0.47,10,Organic Wood Treatment,0.48,3
Film,Cellulose Acetate,8.5,7,Natural Cellulose,8.45,2
Automotive Component,Polyvinyl Alcohol,5.31,8,Biodegradable PVA,5.27,3
General Appliance Part,Leaded Gasoline,6.89,10,Electric Vehicles,6.73,2
Automotive Component,Recycled Cardboard,3.54,7,Recycled Paperboard,3.47,3
Tire,Silicone Rubber,7.1,6, Natural Latex or Biodegradable Silicone,7.24,3
Electronic Housing,Recycled Stone,4.54,8, Recycled Stone,4.63,3
Electronic Housing,Tencel,8.27,8,Hemp or Organic Cotton,8.15,3
Umbrella,Nylon Bristles,2.09,7,Bamboo or Plant-based Bristles,2.14,2
Automotive Component,Rock Wool,1.66,8,Hemp Wool Insulation,1.69,3
Packaging Box,Polymethyl Methacrylate (PMMA),0.41,9,Recycled PMMA,0.41,3
Soda Bottle,PETG,3.73,7,PLA-based materials,3.63,3
Credit Card,PVC Foam,1.18,8,Recycled Plastic Foam,1.16,3
Electronic Housing,Methylene Chloride Paint Strippers,7.01,9,Soy-based Strippers,6.85,3
Packaging Box,Acrylic Yarn,7.74,8,Bamboo Yarn or Organic Cotton Yarn,7.93,2
General Appliance Part,Linseed Oil,9.32,7,Water-based Linseed Oil,9.31,3
Packaging Box,Acrylic,0.19,8,Bamboo or Glass,0.19,3
Toy,Fish Scale Plastics,5.23,8,Algae-based Plastics,5.3,3
Electronic Housing,Recycled Wool,5.52,8, Recycled Wool Insulation,5.64,3
Electronic Housing,Phenol,2.31,9,Natural Phenolics,2.32,3
Packaging Box,Cadmium Batteries,2.96,10,Lithium-ion Batteries,2.96,4
Phone Case,Plastic Beads,0.08,8,Glass or Wooden Beads,0.08,3
Bag,MDF (Medium-Density Fiberboard),7.1,8,Bamboo Plywood,7.16,3
General Appliance Part,Neoprene,2.59,8,Natural Rubber,2.57,3
Electronic Housing,Recycled Aluminum Foil,4.02,8,Reusable Beeswax Wrap,3.92,2
Packaging Box,Cadmium Batteries,1.82,10,Lithium-ion Batteries,1.79,4
Shoe Sole,Silicone Rubber,1.85,6, Natural Latex or Biodegradable Silicone,1.88,3
Packaging Box,Rosewood,0.15,9,Sustainable Plantation Wood,0.15,3
Packaging Film,Polyethylene Bags,4.76,9,Compostable Cornstarch Bags,4.68,2
General Appliance Part,Perchloroethylene,0.65,9,CO2 Cleaning,0.66,3
Jacket,Polyester Bags,0.51,8,Cotton or Canvas Bags,0.51,2
Automotive Component,Sunflower Oil,4.23,8, Plant-based Oil,4.14,3
Bag,Abaca Fiber,6.95,7,Banana Plant Fiber,7.12,3
Water Bottle,Thermoplastic Vulcanizates,1.08,8,Biodegradable Thermoplastic,1.1,3
Electronic Housing,Cork Packaging,1.66,8, Bamboo Packaging,1.61,3
General Appliance Part,Shellac,2.87,7,Plant-based Resin,2.8,2
Packaging Box,Cadmium Pigments,0.84,10,Natural Earth Pigments,0.83,2
General Appliance Part,Toxaphene,1.58,10,Botanical Pesticides,1.61,2
Automotive Component,Polyvinyl Acetate,0.11,8,Plant-based Glue,0.11,3
General Appliance Part,Soybean Oil,0.71,8,Bio-based Oil,0.7,3
Electronic Housing,Polyisobutylene,2.26,8,Natural Rubber Alternatives,2.28,3
Plastic Cutlery,Recycled Polystyrene,2.13,8, Recycled Polystyrene or Bio-based Styrofoam,2.1,3
Soda Bottle,Recycled Polyethylene Terephthalate (rPET),6.7,8, Bio-based PET,6.88,3
General Appliance Part,Rice Husk,0.05,8,Compostable Rice Husk,0.05,3
Automotive Component,Mirex,2.58,10,Organic Pest Control,2.6,2
General Appliance Part,Soybean Oil,7.1,8, Bio-based Oil,7.08,3
General Appliance Part,Liquid Crystal Polymer,4.16,9,Natural Liquid Crystals,4.18,4
Shoe Sole,Recycled Tyre Rubber,5.67,9,Recycled Rubber,5.78,3
Electronic Housing,Recycled Paper,3.83,7,Recycled Paper or Plant-based Paper,3.81,2
Packaging Box,Traditional Asphalt,2.74,9,Recycled Rubber Pavement,2.75,4
Automotive Component,Phosgene,5.53,10,Green Chemistry Routes,5.56,4
Packaging Box,Acrylonitrile Butadiene Styrene,6.19,8,Natural Fiber Composites,6.25,3
Packaging Box,Recycled Aluminum Foil,8.61,8,Reusable Beeswax Wrap,8.68,2
Disposable Cutlery,Phthalate Plasticizers,8.89,9,Citrate-based Plasticizers,9.01,3
Packaging Box,Asphalt Shingles,0.72,8,Recycled Metal Shingles,0.74,3
Soda Bottle,PETG Bottles,1.81,8,PLA or Glass Bottles,1.84,3
Packaging Film,Polyethylene Terephthalate Glycol,9.47,7,PLA-based materials,9.64,3
Water Bottle,Fish Scale Plastics,5.47,8,Algae-based Plastics,5.34,3
Jacket,Polyester Clothing,8.16,8,Organic Cotton or Hemp Fabric,7.99,2
General Appliance Part,Recycled Paper Bags,3.63,7,Compostable Paper Bags,3.58,3
Packaging Box,Methyl Bromide,4.18,10,Steam Treatment,4.06,2
Automotive Component,Ammonia,9.55,8,Vinegar or Baking Soda Solutions,9.64,2
Electronic Housing,Compostable Paper,8.92,7,Bamboo Paper,9.09,2
Mattress,Polyurethane Foam,0.84,8,Recycled Denim or Sheeps Wool,0.83,3
Upholstery,Kapok Fiber,1.48,5,Tree Fiber Insulation,1.51,2
Packaging Box,Non-Woven Polypropylene,9.94,8,Organic Cotton Fabric,9.65,2
General Appliance Part,Trichloroethylene,7.02,9,Aqueous Cleaners,6.94,3
Upholstery,Natural Fiberboard,5.45,8, Recycled Wood Fiberboard,5.5,3
General Appliance Part,Methyl Isocyanate,1.87,10,Non-isocyanate Chemistry,1.85,4
Upholstery,Fiberglass Insulation,6.46,9,Cellulose Insulation,6.41,3
Electronic Housing,Beryllium,0.64,10,Aluminum Alloys,0.64,4
Industrial Coating,Polylactic Acid (PLA),5.86,6,Compostable PLA,5.82,2
Electronic Housing,Graphene,5.05,8,Recycled Graphene,5.03,3
General Appliance Part,Acrylonitrile,8.88,9,Bio-based Nitriles,8.91,3
Automotive Component,Viscose Rayon,2.84,8,Lyocell,2.8,3
General Appliance Part,Soybean Oil,3.36,8,Bio-based Oil,3.37,3
Electronic Housing,Chitosan,3.75,8,Bio-based Chitosan,3.69,3
Electronic Housing,Polybenzoxazine,4.99,8, Bio-based Polybenzoxazine,4.92,3
Packaging Box,Agar,9.04,8,Plant-based Agar,9.16,3
Automotive Component,Chromated Copper Arsenate,4.09,10,Heat-treated Wood,4.06,3
General Appliance Part,Polyvinyl Acetate,3.37,8,Plant-based Glue,3.36,3
General Appliance Part,Formalin,4.82,10,Plant-based Preservatives,4.8,3
Toy,Plastic Shopping Bags,4.55,9,Jute or Reusable Cloth Bags,4.6,2
General Appliance Part,Coal Tar,6.94,9,Bio-based Tar,7.05,3
Packing Peanuts,Polystyrene (Styrofoam),7.26,9,Mushroom Packaging (Mycelium),7.09,1
Phone Case,Fish Scale Plastics,6.98,8,Algae-based Plastics,6.94,3
Automotive Component,Synthetic Insulation,2.65,8,Recycled Cotton Insulation,2.6,2
Packaging Box,Hexamethylenediamine,2.74,8,Bio-based Diamines,2.73,3
Electronic Housing,PCB Capacitors,2.65,10,Bio-based Capacitors,2.62,4
Curtains,Polyester Carpet,8.47,8,Wool or Sisal Carpet,8.34,3
Stockings,Nylon Rope,0.65,7,Jute or Hemp Rope,0.63,2
Non-stick Pan,Teflon,6.14,10,Ceramic Coating or Cast Iron,6.05,4
Electronic Housing,Perchloroethylene,6.2,9,CO2 Cleaning,6.2,3
Bag,Acrylic Fabric,4.19,7,Hemp Fabric,4.11,2
Shoe Sole,Silicone Rubber,3.23,6,Natural Latex or Biodegradable Silicone,3.21,3
Electronic Housing,Antimony Compounds,0.78,9,Natural Flame Retardants,0.77,3
Automotive Component,Propylene Oxide,1.57,9,Enzymatic Processes,1.58,3
Automotive Component,Ammonia,7.04,8,Vinegar or Baking Soda Solutions,7.12,2
Handbag,Grape Leather,3.1,6,Wine Industry Byproduct Leather,3.08,2
Packaging Film,Recycled Polyethylene,2.99,8,Recycled Polyethylene or Biodegradable Polyethylene,2.93,3
Grocery Bag,Recycled Polyethylene,0.5,8,Recycled Polyethylene or Biodegradable Polyethylene,0.5,3
General Appliance Part,Acrylonitrile Styrene Acrylate,2.61,8,Bio-based Copolymers,2.64,3
Automotive Component,Sisal,1.9,8, Hemp or Bamboo Fiber,1.86,3
General Appliance Part,Hydrochlorofluorocarbons,8.36,9,CO2 Refrigeration,8.59,3
General Appliance Part,PVB,2.85,8,Recycled Glass or Biodegradable PVB,2.78,3
Pen,Thermoplastic Vulcanizates,8.89,8,Biodegradable Thermoplastic,8.71,3
Packaging Box,Bamboo Pulp,3.98,8,Recycled Pulp,4.04,3
Floor Coating,Epoxy Resin,6.9,9,Bio-based Resin,7.07,3
Eraser,Silicone Rubber,4.84,6,Natural Latex or Biodegradable Silicone,4.78,3
Curtains,Polyester Carpet,2.55,8,Wool or Sisal Carpet,2.62,3
Bag,Recycled Fabric,4.27,8, Organic Fabric,4.25,3
Packaging Box,Recycled Granite,4.99,8,Recycled Granite or Recycled Glass,5.0,3
Eraser,Silicone Rubber,0.07,6,Natural Latex or Biodegradable Silicone,0.07,3
Water Bottle,Thermoplastic Vulcanizates,9.28,8, Biodegradable Thermoplastic,9.26,3
Automotive Component,Vinyl,9.32,8,Recycled Wood or Bamboo,9.52,3
Industrial Coating,Plant-based Resin,1.5,8, Bio-based Resin,1.52,3
Jacket,Bio-based Polyester,0.35,7,Recycled Polyester,0.35,2
Handbag,Mushroom Leather,5.48,8,Mycelium Leather,5.53,3
Packaging Box,Biodegradable Paint,2.43,7,Natural Paints,2.42,2
Blanket,Polyester Rope,1.07,7,Hemp or Jute Rope,1.06,2
General Appliance Part,Polyvinyl Chloride Flooring,6.31,9,Cork or Bamboo Flooring,6.26,3
Electronic Housing,Bamboo Paper,5.62,8, Recycled Paper,5.66,3
Sportswear,Polyester Resin,4.6,8, Bio-based Resin,4.73,3
Car Seat,Polyurethane Foam,1.12,9,Natural Latex or Coconut Fiber,1.12,3
General Appliance Part,Vinyl Chloride Monomer,3.72,9,Bio-based Monomers,3.74,3
Electronic Housing,Polyamide 11,6.93,8,Biodegradable Polyamide,6.94,3
Electronic Housing,Algae Oil,6.22,8,Plant-based Oil,6.1,3
Packaging Box,Vinyl Upholstery,4.81,9,Cork Leather or Fabric,4.7,3
Electronic Housing,Polysulfone,2.19,8,Bio-based PSU or Recycled Polysulfone,2.22,3
Pen,Plastic Straws,7.28,9,Bamboo or Metal Straws,7.12,2
Cable Insulation,PVC Pipes,0.24,9,HDPE or PEX Pipes,0.24,3
Curtains,Polyester Film,0.71,7,Cornstarch-based Film,0.7,2
Industrial Coating,Polylactic Acid (PLA),5.87,6,Compostable PLA,5.96,2
General Appliance Part,Creosote,0.3,9,Natural Wood Preservatives,0.31,3
Plastic Cutlery,Recycled Polystyrene,8.05,8, Recycled Polystyrene or Bio-based Styrofoam,7.83,3
Automotive Component,Vinyl Acetate,9.41,8,Natural Acetylation,9.17,3
Adhesive,Polylactic Acid,7.35,5,Biodegradable Paper,7.39,2
Film,Cellulose,6.1,8,Recycled Cellulose,6.26,3
Packaging Film,Polyethylene (Plastic),5.94,9,Jute or Cotton,6.06,2
Film,Nitrocellulose,3.97,8,Natural Film Formers,3.92,3
Electronic Housing,Polyvinyl Alcohol (PVA),6.28,8, Biodegradable PVA,6.38,3
Electronic Housing,Triclosan,4.61,10,Essential Oil-based Antimicrobials,4.73,3
General Appliance Part,Wool,5.59,7,Cotton or Hemp,5.65,3
General Appliance Part,Perchloroethylene,3.53,9,CO2 Cleaning,3.62,3
Water Bottle,Polyethylene (Plastic),7.87,9,Jute or Cotton,7.84,2
Electronic Housing,Graphene,0.79,8,Recycled Graphene,0.77,3
Phone Case,Soy Protein Plastics,7.0,8,Plant-based Plastics,6.88,3
Electronic Housing,Rapeseed Oil,9.73,8,Vegetable-based Oil,9.71,3
Automotive Component,Polysiloxane,6.29,8, Plant-based Siloxane,6.47,3
Automotive Component,Polybutylene,0.82,8,Bio-based Polyolefins,0.82,3
Squeeze Bottle,Polyethylene Terephthalate Glycol,6.16,7,PLA-based materials,6.26,3
General Appliance Part,Foam Packing Peanuts,4.48,9,Cornstarch Packing Peanuts,4.37,2
Packaging Box,Volatile Organic Compounds,4.4,9,Water-based Solutions,4.38,3
Electronic Housing,Methyl Isocyanate,4.51,10,Non-isocyanate Chemistry,4.4,4
Automotive Component,Cork,4.92,8,Recycled Cork,5.0,3
Automotive Component,Polypropylene Glycol (PPG),2.66,8, Biodegradable PPG,2.6,3
Packaging Box,Natural Stone,1.09,7,Recycled Stone,1.06,3
General Appliance Part,Kevlar,9.38,9,High-strength Natural Fibers,9.23,4
Molded Part,Chromic Acid,5.25,9,Citric Acid,5.15,2
Automotive Component,Teak Wood,0.42,9,Bamboo Composites,0.41,3
Grocery Bag,Polyethylene Glycol,3.33,8,Bio-based PEG,3.36,3
Electronic Housing,Olive Pit Composites,5.08,6,Fruit Waste Composites,5.2,2
